Location,Time,TPopulation1Jan,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,PopGrowthRate,Births,CBR,CDR,LEx,LExMale,LExFemale,LE15Male,LE15Female,LE65Male,LE65Female,LE80Male,LE80Female,IMR,LBsurvivingAge1,Q5,Q0040Male,Q0040Female,Q0060Male,Q0060Female,Q1550Male,Q1550Female,Q1560Male,Q1560Female,CNMR
United States of America,1951,149467.233,74784.498,75813.955,16.4632,98.6421,29.2599,1.502,3572.09,23.711,9.681,68.1696,65.4113,71.2183,53.6209,58.8735,12.7926,15.1986,5.953,6.8937,31.4417,3474.793,36.8486,99.6652,68.5436,288.168,188.2207,116.2494,73.1375,252.2337,157.2466,0.987
United States of America,1952,151729.673,76079.282,76862.444,16.7193,98.9811,29.2082,1.585,3627.002,23.758,9.647,68.366,65.545,71.496,53.7298,59.1711,12.9378,15.3696,6.0698,7.0308,31.2286,3528.796,36.6855,99.2858,67.7892,286.5779,184.4864,115.9223,71.1519,250.9164,153.2339,1.767
United States of America,1953,154153.781,77221.443,78229.756,16.9937,98.7111,29.2646,1.669,3682.34,23.706,9.584,68.6998,65.7957,71.9145,53.844,59.4383,12.9031,15.4204,6.0116,7.0059,29.8901,3586.404,34.9173,95.6035,63.1455,280.8043,177.7889,113.1508,67.3824,246.5288,148.2658,2.583
United States of America,1954,156748.617,78577.893,79627.98,17.2948,98.6813,29.3012,1.842,3783.142,23.947,9.192,69.4892,66.5729,72.6949,54.4724,60.1064,13.1901,15.8302,6.2586,7.2786,28.5022,3688.644,33.0653,90.1007,59.0976,267.1799,167.8117,106.6531,63.1294,234.3911,139.5938,3.694
United States of America,1955,159663.129,80054.91,81081.539,17.6152,98.7338,29.175,1.829,3814.76,23.714,9.303,69.5456,66.5803,72.8043,54.3989,60.1475,13.051,15.7314,6.1257,7.1369,27.76,3721.685,32.1471,89.0059,57.7699,265.7258,163.9496,106.1526,61.6479,233.7937,136.4562,3.906
United States of America,1956,162609.77,81493.353,82570.058,17.9351,98.696,29.0586,1.772,3914.029,23.888,9.347,69.6301,66.6096,72.9485,54.38,60.2492,13.0277,15.7928,6.0796,7.1408,27.3419,3819.818,31.6138,88.0737,56.6552,264.8348,162.3492,105.6072,60.9533,233.4412,135.3588,3.203
United States of America,1957,165517.053,82879.156,84069.964,18.2506,98.5836,28.9807,1.716,3996.568,23.968,9.578,69.4058,66.363,72.7464,54.1302,60.0678,12.8624,15.6982,6.0191,7.0571,27.3808,3900.248,31.7048,88.6314,57.9912,268.2395,164.7476,106.7603,62.0795,236.8831,137.5004,2.786
United States of America,1958,168381.188,84436.482,85710.619,18.6002,98.5134,28.8348,2.076,3948.342,23.29,9.483,69.6606,66.6033,72.9998,54.3526,60.3265,12.9275,15.8018,6.0196,7.0693,27.3674,3853.225,31.6719,86.5717,56.4624,263.8668,160.5259,103.9063,59.6659,232.6666,133.1944,7.026
United States of America,1959,171913.014,85975.164,87349.444,18.9476,98.4267,28.7361,1.629,3992.771,23.069,9.366,69.8889,66.7524,73.3103,54.4698,60.5755,13.0374,15.9813,6.0922,7.156,26.7225,3898.616,30.8516,85.9981,55.349,262.7635,157.3303,103.6553,58.678,231.9219,130.7292,2.608
United States of America,1961,177640.953,88664.087,90423.191,19.5775,98.0546,28.4637,1.615,4012.952,22.447,9.295,70.2385,67.0392,73.7086,54.617,60.8615,13.0568,16.2037,6.093,7.244,25.3477,3922.713,29.3122,82.527,53.1918,256.053,151.9105,101.5284,57.821,226.6886,126.6077,3.028
United States of America,1962,180533.604,89959.485,91958.324,19.887,97.8264,28.2594,1.522,3934.687,21.67,9.451,70.1035,66.8799,73.59,54.4294,60.7195,12.9233,16.1253,6.0077,7.1611,25.1836,3846.725,29.0407,82.9688,53.5454,258.839,153.6504,102.7944,59.0074,229.8375,128.6316,3.028
United States of America,1963,183302.014,91209.206,93440.667,20.1856,97.6119,28.0109,1.46,3879.329,21.05,9.615,69.9321,66.6342,73.5021,54.1723,60.6283,12.7496,16.0911,5.9129,7.1163,25.103,3792.856,29.0634,84.0157,53.8774,262.3825,155.2745,104.6318,59.7599,233.5486,130.3031,3.193
United States of America,1964,185997.733,92407.515,94869.864,20.4729,97.4045,27.7129,1.367,3815.801,20.409,9.401,70.1896,66.8204,73.8113,54.3296,60.9224,12.9945,16.383,6.1072,7.3181,24.8157,3731.625,28.6661,84.784,53.6231,260.7794,153.8298,105.7682,59.4684,232.275,129.1108,2.68
United States of America,1965,188557.024,93456.821,96246.462,20.7381,97.1016,27.5311,1.208,3581.252,18.913,9.433,70.2417,66.8027,73.9363,54.2412,60.9897,12.9098,16.4207,6.0404,7.3359,24.0749,3504.391,27.8503,84.1116,52.6002,260.717,152.6441,105.9202,59.5907,233.0041,128.6055,2.627
United States of America,1966,190849.542,94280.206,97550.769,20.9707,96.6473,27.4135,1.023,3447.008,17.993,9.51,70.2045,66.6912,73.9665,54.0743,60.9798,12.8512,16.3905,6.0446,7.3358,23.374,3374.99,27.1815,84.9219,52.2101,263.6795,152.3207,108.2418,59.7881,236.6388,128.7362,1.763
United States of America,1967,192812.408,94994.18,98788.258,21.184,96.1594,27.3501,1.001,3374.359,17.435,9.363,70.5187,66.9351,74.3315,54.2205,61.2538,12.9855,16.6331,6.1454,7.5049,22.3173,3306.873,25.8571,84.2282,50.6663,260.8112,149.9715,108.5539,58.9792,234.858,127.4981,1.952
United States of America,1968,194752.468,95778.901,99964.527,21.3984,95.8129,27.3164,1.013,3368.614,17.232,9.664,70.2021,66.5522,74.0829,53.821,60.9863,12.7575,16.4705,6.0554,7.3918,22.0971,3301.942,25.6562,86.6913,51.0874,266.7184,153.1054,112.5209,60.587,240.9852,130.8508,2.57
United States of America,1969,196734.387,96739.524,101119.805,21.6297,95.6682,27.2709,1.137,3463.766,17.533,9.531,70.4785,66.7702,74.3968,53.9737,61.2627,12.9184,16.6902,6.1536,7.5356,21.4038,3397.468,24.8721,86.8691,50.6674,264.4891,150.6437,113.4611,60.0232,239.496,128.8407,3.387
United States of America,1970,198984.271,97960.128,102368.212,21.8996,95.6939,27.2373,1.342,3633.765,18.175,9.419,70.7353,67.016,74.6464,54.1642,61.467,13.0414,16.9036,6.2905,7.7643,20.8825,3565.989,24.1879,84.8968,49.5696,261.373,149.67,111.6685,59.3179,236.9897,128.4573,4.689
United States of America,1971,201672.409,99269.398,103638.519,22.1816,95.7843,27.2911,1.218,3441.896,17.003,9.312,71.0957,67.3885,74.9738,54.3711,61.6555,13.1135,17.0275,6.2796,7.7798,18.7965,3384.391,22.0158,82.1859,47.3376,254.786,145.5567,109.5962,58.3014,232.175,125.9174,4.516
United States of America,1972,204143.425,100432.469,104805.921,22.4363,95.8271,27.3964,1.067,3163.771,15.458,9.379,71.172,67.4161,75.1075,54.3176,61.7121,13.044,17.0085,6.2698,7.8054,17.8223,3113.766,20.9723,80.7054,45.8235,253.7406,143.0512,109.5606,57.4535,232.0138,124.2726,4.621
United States of America,1973,206333.355,101431.988,105882.777,22.6633,95.7965,27.4995,0.947,3051.417,14.752,9.335,71.3883,67.618,75.3225,54.4866,61.891,13.128,17.1486,6.2487,7.818,17.2881,3004.691,20.4256,80.412,44.8166,249.9105,141.28,108.5984,56.2746,228.4882,122.9405,4.072
United States of America,1974,208296.174,102351.67,106926.298,22.8779,95.7217,27.6397,0.938,3068.554,14.69,9.072,71.9499,68.1851,75.8454,54.9899,62.3685,13.384,17.4581,6.3893,8.0103,16.8424,3022.825,19.7699,76.5961,42.4486,240.5581,134.9658,103.8704,53.1836,219.8062,117.168,3.782
United States of America,1975,210259.763,103279.288,107995.247,23.0962,95.6332,27.8787,0.961,3050.973,14.47,8.791,72.5337,68.7214,76.4552,55.424,62.9136,13.6547,17.8822,6.5815,8.3476,15.8654,3008.24,18.6574,73.7278,40.3767,232.3487,129.9153,100.2337,50.6522,212.721,112.9202,3.947
United States of America,1976,212289.308,104203.838,109066.184,23.3143,95.5418,28.2015,0.92,3070.796,14.425,8.783,72.8339,69.0766,76.6751,55.7089,63.0815,13.7297,17.9564,6.5584,8.3239,15.1207,3029.875,17.8474,70.0279,38.7976,225.5429,126.4768,96.2569,48.7706,206.6513,110.0681,3.572
United States of America,1977,214250.736,105208.264,110229.142,23.5513,95.4451,28.5153,1.102,3217.963,14.97,8.655,73.2152,69.4109,77.0859,55.9803,63.4132,13.9343,18.2433,6.6828,8.5633,14.1678,3177.873,16.8329,69.4994,37.4611,220.8134,123.1077,95.0451,47.7808,202.6106,107.6263,4.726
United States of America,1978,216624.075,106342.09,111539.346,23.8184,95.3404,28.7782,1.154,3254.955,14.979,8.692,73.397,69.6189,77.2238,56.1384,63.5215,14.0007,18.2942,6.6694,8.5645,13.6371,3215.971,16.3096,68.4091,36.7615,216.6717,121.0476,93.4328,46.9806,198.9981,105.9023,5.285
United States of America,1979,219138.798,107557.02,112906.095,24.1007,95.2624,28.9608,1.201,3408.374,15.498,8.545,73.8202,70.0081,77.661,56.4689,63.909,14.2466,18.5495,6.8251,8.7566,13.1137,3369.167,15.6336,67.6323,35.4455,212.0888,116.6371,92.2989,44.8052,195.1037,102.0853,5.091
United States of America,1980,221787.432,108839.11,114300.908,24.3933,95.2216,29.0663,1.212,3535.619,15.883,8.776,73.7172,69.9815,77.473,56.3991,63.6862,14.113,18.3117,6.6728,8.5711,12.7015,3496.265,15.1894,67.2554,34.8693,211.4865,116.7544,91.7814,44.6428,194.983,102.5701,5.045
United States of America,1981,224492.604,110063.477,115590.531,24.6681,95.2184,29.2955,1.029,3550.164,15.758,8.639,74.1052,70.4055,77.798,56.742,63.9465,14.296,18.5219,6.7773,8.7212,11.8708,3513.303,14.2462,64.1073,33.4262,205.8287,114.3008,89.0708,43.3905,190.2435,100.8903,3.192
United States of America,1982,226815.412,111224.871,116776.547,24.9247,95.2459,29.5786,1.04,3614.08,15.875,8.535,74.4526,70.8014,78.0753,57.1004,64.1917,14.4184,18.6547,6.8745,8.8763,11.5185,3577.699,13.8044,61.1671,31.988,198.3549,110.6203,84.5597,41.437,183.1596,97.5755,3.08
United States of America,1983,229187.425,112422.192,117967.773,25.1859,95.2991,29.864,1.044,3593.401,15.625,8.644,74.5432,70.9657,78.0839,57.2156,64.1524,14.365,18.5816,6.7828,8.7974,11.0462,3558.75,13.2607,58.6154,30.9835,194.3654,109.5638,81.6348,40.4588,179.7053,97.07,3.477
United States of America,1984,231592.503,113625.443,119140.837,25.4456,95.3707,30.1037,1.009,3631.161,15.623,8.646,74.6658,71.1191,78.1677,57.3389,64.2228,14.4767,18.6253,6.8196,8.8523,10.8879,3596.66,12.9527,58.5511,30.8972,192.229,108.4598,81.6715,40.3628,177.915,96.1124,3.124
United States of America,1985,233940.056,114836.712,120309.47,25.7058,95.4511,30.3774,1.026,3711.74,15.808,8.767,74.6421,71.0775,78.1734,57.3035,64.1987,14.4481,18.5773,6.7484,8.7847,10.8046,3676.751,12.8513,59.4631,30.395,192.4625,107.5518,82.5618,39.8925,178.0712,95.5427,3.233
United States of America,1986,236352.308,116047.278,121465.505,25.9645,95.5393,30.6692,0.977,3714.152,15.659,8.761,74.7218,71.1439,78.2648,57.3369,64.2658,14.5666,18.6399,6.8144,8.8589,10.4094,3680.451,12.4859,62.1722,30.591,191.9329,106.3213,85.3283,40.1805,177.9149,94.5925,2.887
United States of America,1987,238673.258,117240.198,122612.97,26.2204,95.6181,30.967,0.984,3778.718,15.775,8.752,74.8538,71.3124,78.3542,57.4919,64.3432,14.6802,18.703,6.8643,8.8836,10.2547,3744.953,12.3068,61.8178,30.7272,190.0659,105.8479,84.8709,40.0269,176.2031,94.2756,2.828
United States of America,1988,241033.079,118480.825,123806.989,26.4865,95.698,31.2566,1.036,3893.149,16.089,8.857,74.828,71.3183,78.3013,57.4864,64.3028,14.7047,18.6605,6.8016,8.8029,10.2342,3858.433,12.2664,62.8497,31.0081,189.9529,106.1428,86.4527,40.0653,176.2278,94.4024,3.139
United States of America,1989,243542.549,119849.439,125104.655,26.778,95.7993,31.5265,1.153,4029.692,16.476,8.694,75.1038,71.5997,78.5622,57.763,64.5736,14.9747,18.8735,6.98,8.9942,10.2772,3993.604,12.2593,63.0371,30.9396,188.4122,104.299,86.8271,39.4219,174.7766,92.4623,3.76
United States of America,1990,246365.639,121451.448,126632.284,27.1201,95.9088,31.7807,1.385,4139.325,16.727,8.587,75.3699,71.8499,78.8429,57.9548,64.7812,15.1282,19.0377,7.0536,9.1198,9.6789,4104.462,11.5245,62.6855,29.693,185.0328,101.8453,86.6902,38.8166,172.0819,90.8727,5.746
United States of America,1991,249801.825,123229.931,128330.258,27.5002,96.0256,32.0331,1.398,4094.121,16.323,8.559,75.5227,72.032,78.9661,58.1045,64.8681,15.2455,19.1175,7.0882,9.1726,9.2099,4061.345,11.0849,62.0516,29.3465,183.1757,101.201,86.8545,38.9415,170.5903,90.6636,6.256
United States of America,1992,253318.553,125081.499,130093.84,27.8954,96.1471,32.2926,1.455,4050.847,15.931,8.47,75.7776,72.3239,79.1797,58.3293,65.0421,15.403,19.2279,7.1656,9.2729,8.7052,4020.231,10.4376,60.3104,28.4743,180.2423,99.061,86.5258,38.2589,168.4476,88.9889,7.144
United States of America,1993,257032.124,126914.111,131865.642,28.2894,96.245,32.5516,1.351,3990.165,15.471,8.712,75.567,72.1706,78.9318,58.1654,64.7896,15.2917,19.0058,7.0179,9.0499,8.5235,3960.65,10.301,61.3446,28.9902,181.9385,100.1336,88.1594,39.2298,170.2584,90.0723,6.794
United States of America,1994,260527.383,128685.441,133588.148,28.6713,96.33,32.8098,1.332,3945.039,15.093,8.644,75.7377,72.3882,79.0535,58.3455,64.8815,15.4725,19.0836,7.0923,9.0902,8.21,3916.951,9.9137,60.7277,28.7583,180.2622,99.2432,88.4511,39.4796,169.0294,89.5444,6.912
United States of America,1995,264019.794,130409.307,135251.249,29.0416,96.42,33.0659,1.235,3896.07,14.711,8.659,75.8536,72.5842,79.0853,58.5001,64.8763,15.5424,19.0737,7.0964,9.0546,7.7656,3869.86,9.3808,59.1138,28.3329,177.769,98.6145,87.5939,39.47,167.0077,89.335,6.339
United States of America,1996,267301.317,132102.704,136881.644,29.4049,96.5087,33.3041,1.251,3891.445,14.513,8.567,76.1753,73.0712,79.2221,58.9572,64.992,15.6453,19.102,7.1252,9.0563,7.5519,3865.999,9.0728,53.7464,27.2838,168.4513,96.1511,80.4033,38.3166,158.0046,87.1102,6.607
United States of America,1997,270667.378,133841.089,138554.35,29.7778,96.5983,33.5258,1.269,3888.133,14.321,8.467,76.498,73.5431,79.3787,59.4108,65.1256,15.7468,19.1551,7.152,9.0568,7.4194,3863.162,8.8415,49.3938,26.1945,159.6998,94.1702,74.0084,37.1426,149.4403,85.4015,6.876
United States of America,1998,274123.499,135608.335,140226.682,30.1538,96.7065,33.74,1.241,3945.474,14.348,8.446,76.66,73.8092,79.4332,59.6665,65.1835,15.8452,19.1221,7.1842,9.008,7.4814,3919.919,8.8529,47.3099,25.8334,155.699,92.347,71.5791,36.5262,145.5614,83.543,6.546
United States of America,1999,277546.536,137352.055,141829.526,30.5197,96.8431,33.9506,1.171,3981.083,14.3,8.545,76.6718,73.9214,79.3487,59.7626,65.0784,15.8755,19.0082,7.1404,8.8744,7.305,3955.916,8.6675,46.2812,25.5422,154.7028,92.3933,70.8732,36.8056,144.7664,83.8179,5.991
United States of America,2000,280816.627,139026.949,143371.604,30.8714,96.9697,34.1542,1.12,4074.588,14.463,8.485,76.8114,74.1196,79.43,59.9459,65.1411,16.0526,19.0542,7.2097,8.8823,7.1764,4049.291,8.4745,45.9576,25.1237,153.6377,91.722,71.0776,36.8538,143.8936,83.3689,5.252
United States of America,2001,283980.481,140590.134,144880.36,31.2072,97.0388,34.3518,1.044,4047.723,14.211,8.438,76.9285,74.2676,79.5217,60.067,65.2109,16.2256,19.1523,7.3086,8.9199,6.9039,4023.563,8.2222,46.703,25.1931,153.7322,92.2226,72.303,37.7587,144.3301,84.1385,4.69
United States of America,2002,286960.506,142009.475,146340.778,31.522,97.0403,34.5344,0.964,4044.209,14.054,8.456,77.0005,74.3512,79.5898,60.1568,65.2799,16.333,19.2062,7.3205,8.9191,7.0229,4019.646,8.2621,46.5498,25.1049,153.8416,91.8135,72.1545,38.0665,144.3814,83.7263,4.061
United States of America,2003,289739.998,143359.093,147750.727,31.8237,97.0277,34.7054,0.941,4103.255,14.12,8.391,77.1536,74.5344,79.7145,60.3453,65.3945,16.5276,19.3328,7.4388,8.9951,7.0006,4078.414,8.2591,46.3301,25.0274,153.418,91.5324,71.9132,38.0762,143.9192,83.5796,3.698
United States of America,2004,292479.643,144773.306,149174.579,32.1339,97.0496,34.8835,0.999,4127.653,14.07,8.152,77.5581,74.9718,80.0754,60.7667,65.7613,16.8712,19.6309,7.6479,9.2183,6.9396,4102.886,8.1426,45.4054,24.5787,149.8471,89.4768,69.9994,37.3545,140.5568,81.4694,4.092
United States of America,2005,295416.128,146223.494,150619.176,32.4504,97.0816,35.0844,0.961,4165.894,14.059,8.242,77.5573,74.9672,80.0935,60.7715,65.777,16.9368,19.6411,7.6563,9.1794,7.039,4140.534,8.2337,46.1109,24.5979,151.316,89.5129,70.7338,37.5181,141.9394,81.5429,3.812
United States of America,2006,298269.212,147672.726,152080.372,32.7685,97.1018,35.306,0.99,4277.082,14.292,8.095,77.8386,75.2603,80.3614,61.0451,66.0444,17.2153,19.897,7.8395,9.3702,6.9984,4251.197,8.1516,46.3879,24.5783,150.2039,88.8571,70.5851,37.3256,141.0895,80.9274,3.72
United States of America,2007,301236.984,149147.06,153596.338,33.0954,97.1033,35.5276,0.995,4324.121,14.307,8.006,78.1004,75.5431,80.6025,61.3341,66.2904,17.4199,20.0789,7.9818,9.501,7.0126,4297.898,8.1862,45.5579,24.3441,147.7699,87.4254,68.7058,36.4877,138.595,79.4464,3.668
United States of America,2008,304249.813,150592.79,155102.12,33.4181,97.0927,35.7341,0.945,4264.295,13.974,8.094,78.1958,75.6932,80.6492,61.4546,66.3088,17.4593,20.0602,8.0208,9.4785,6.7649,4239.362,7.9195,44.0502,23.4178,145.6466,86.3397,66.8134,35.9769,136.8187,78.6913,3.591
United States of America,2009,307140.007,151968.684,156543.351,33.726,97.0777,35.9148,0.889,4150.728,13.476,7.914,78.564,76.0823,80.9874,61.8228,66.6278,17.7689,20.4075,8.2627,9.7659,6.533,4127.304,7.6176,42.5397,23.3896,143.5433,86.4412,65.1415,36.1118,134.9781,79.0413,3.347
United States of America,2010,309884.064,153272.866,157909.979,34.018,97.0634,36.0627,0.835,4036.757,12.994,7.95,78.7724,76.3249,81.1662,62.0275,66.7757,17.8512,20.4614,8.3057,9.7753,6.185,4015.207,7.2457,41.1526,22.5602,140.0094,84.2196,63.0544,34.7421,131.8758,77.1791,3.318
United States of America,2011,312481.626,154669.482,159207.127,34.3125,97.1498,36.1832,0.889,3986.301,12.727,8.042,78.82,76.4103,81.1823,62.1016,66.7838,17.9523,20.4945,8.3592,9.7703,6.0358,3965.541,7.0864,41.3069,22.629,140.1478,84.87,63.0544,35.0703,132.1449,77.9263,4.222
United States of America,2012,315271.591,156181.261,160470.06,34.6158,97.3274,36.2879,0.871,3982.539,12.604,8.059,78.9441,76.5397,81.31,62.2236,66.9039,18.0792,20.6108,8.4648,9.8554,5.9812,3961.989,7.0321,41.0866,22.4533,139.2447,84.5315,62.267,34.607,131.3374,77.6865,4.188
United States of America,2013,318031.051,157662.346,161712.82,34.9136,97.4953,36.3848,0.842,3966.458,12.446,8.155,78.9507,76.5453,81.3302,62.2242,66.9165,18.0881,20.6404,8.4924,9.8894,5.918,3946.21,6.9341,40.9141,22.4342,139.1415,84.8522,62.2107,34.636,131.2939,78.0922,4.144
United States of America,2014,320719.281,159103.717,162930.247,35.2042,97.6514,36.4793,0.816,4003.811,12.457,8.168,79.0175,76.6042,81.4136,62.27,66.9899,18.2022,20.7893,8.6191,10.0238,5.8323,3983.673,6.7888,41.538,22.6591,139.5982,86.0047,62.7451,35.1764,131.9018,79.382,3.892
United States of America,2015,323348.646,160493.394,164114.382,35.4856,97.7936,36.5863,0.776,3995.991,12.334,8.332,78.8694,76.4419,81.2957,62.1145,66.8816,18.1814,20.7312,8.6141,9.9681,5.8668,3975.771,6.8635,43.9406,23.6358,142.1068,87.1737,65.2723,36.0444,134.3378,80.4309,3.771
United States of America,2016,325866.907,161895.324,165314.874,35.7701,97.9315,36.7112,0.821,3957.371,12.122,8.332,78.8482,76.3521,81.3573,62.0195,66.948,18.3273,20.9122,8.7799,10.1384,5.8322,3937.466,6.843,47.3001,25.0214,146.2149,88.8975,69.6924,37.5662,138.5347,82.1122,4.44
United States of America,2017,328553.489,163282.016,166509.214,36.0522,98.0619,36.8625,0.751,3869.955,11.761,8.424,78.8213,76.3114,81.3584,61.9737,66.9306,18.3242,20.9034,8.7725,10.1302,5.7141,3850.89,6.6808,48.0814,25.1097,146.8981,88.6246,70.9289,37.826,139.2666,82.0479,4.187
United States of America,2018,331028.972,164538.32,167601.718,36.309,98.1722,37.049,0.669,3801.511,11.468,8.387,78.9896,76.4727,81.5403,62.1242,67.0982,18.4109,21.0259,8.8969,10.2244,5.5757,3783.242,6.5333,46.672,24.7202,145.0453,87.0471,69.7017,37.2389,137.5434,80.6332,3.622
United States of America,2019,333251.103,165698.83,168620.84,36.5473,98.2671,37.2545,0.639,3756.83,11.258,8.325,79.138,76.5983,81.7192,62.2401,67.2787,18.5641,21.2018,9.0346,10.3672,5.5351,3738.909,6.4664,46.8916,24.7105,145.1225,86.1246,70.5015,37.1715,137.7418,79.7042,3.472
United States of America,2020,335388.238,166504.407,169437.597,36.7246,98.2689,37.4674,0.33,3670.49,10.939,9.651,77.4144,74.6419,80.3081,60.2644,65.8504,17.3378,20.1191,8.2723,9.6049,5.4627,3653.213,6.3817,54.5418,27.3052,167.1966,95.6818,84.5327,42.6693,160.0225,89.4132,2.013
United States of America,2021,336495.769,166941.642,170055.983,36.84,98.1686,37.6833,0.298,3722.822,11.056,9.743,77.1982,74.2999,80.238,59.9022,65.7713,17.5116,20.4795,8.6438,10.2245,5.3909,3705.532,6.2976,56.7395,28.3849,179.2947,105.7813,86.1811,44.7961,172.4367,99.6825,1.668
United States of America,2022,337499.479,167498.138,170791.72,36.9813,98.0716,37.889,0.467,3726.867,11.033,9.31,78.2028,75.4794,81.0153,61.0529,66.5246,18.0699,20.889,8.8654,10.3772,5.0351,3710.714,5.9188,51.1066,26.0304,162.6489,96.8752,77.8559,41.03,156.0919,91.0484,2.956
United States of America,2023,339080.235,168295.333,171701.23,37.1679,98.0164,38.0989,0.539,3745.361,11.032,8.579,79.7384,77.2714,82.2333,62.8563,67.7361,18.9103,21.4998,9.1248,10.4902,4.8988,3729.572,5.8421,44.2837,23.0976,137.2823,82.1789,66.1509,35.331,130.5566,76.4217,2.945
